subject,file_name,id,kappa_12,kappa_13,kappa_23,kappa_mean
english,ChatGPT4prompt_english,1,0.8545454545454545,0.7623762376237624,0.7623762376237624,0.7930993099309931
english,ChatGPT4prompt_english,2,0.925,0.625,0.6903225806451614,0.746774193548387
english,ChatGPT4prompt_english,3,0.9292035398230089,0.8038147138964578,0.7377049180327868,0.8235743905840845
english,ChatGPT4prompt_english,4,0.797752808988764,0.728813559322034,0.9310344827586207,0.8192002836898062
english,ChatGPT4prompt_english,5,0.9285714285714286,0.7966101694915254,0.8620689655172413,0.8624168545267317
english,ChatGPT4prompt_english,6,0.9292035398230089,0.8545454545454545,0.7876106194690266,0.8571198712791633
english,ChatGPT4prompt_english,7,0.9320113314447592,0.8659217877094971,0.9320113314447592,0.9099814835330052
english,ChatGPT4prompt_english,8,1.0,0.8315789473684211,0.8315789473684211,0.887719298245614
english,ChatGPT4prompt_english,9,0.9289940828402367,0.7340720221606648,0.797752808988764,0.8202729713298885
english,ChatGPT4prompt_english,10,1.0,0.76,0.76,0.84
english,ChatGPT4prompt_english,11,0.8620689655172413,0.7159763313609467,0.8461538461538461,0.8080663810106782
english,ChatGPT4prompt_english,12,0.9292035398230089,0.7869822485207101,0.8545454545454545,0.8569104142963911
english,ChatGPT4prompt_english,13,0.9191919191919192,0.7575757575757576,0.8321678321678322,0.8363118363118364
english,ChatGPT4prompt_english,14,0.8333333333333334,0.92,0.92,0.8911111111111111
english,ChatGPT4prompt_english,15,1.0,0.9310344827586207,0.9310344827586207,0.9540229885057471
english,ChatGPT4prompt_english,16,1.0,0.861271676300578,0.861271676300578,0.9075144508670521
english,ChatGPT4prompt_english,17,0.8596491228070176,0.6428571428571428,0.7857142857142857,0.7627401837928153
english,ChatGPT4prompt_english,18,0.9289940828402367,0.7869822485207101,0.8536585365853658,0.8565449559821041
english,ChatGPT4prompt_english,19,0.9310344827586207,0.7906976744186046,0.7168141592920354,0.8128487721564203
english,ChatGPT4prompt_english,20,0.9285714285714286,0.9285714285714286,1.0,0.9523809523809524
